gene,log2FC
ZFP36L1,22.03931
ALAD,
BAG3,17.36939
C6orf47,
CENPJ,19.632385
DDX55,18.2686
FOXK2,14.7884725
GOLGA3,22.631520000000002
MED1,23.54616
PDLIM2,
RALGAPB,19.150985
RBBP6,24.470914999999998
SCRIB,12.508363
SH3BP1,16.934145
TRA2A,20.85514
TXLNG,15.98031
ADD3,17.88122
ATG2A,17.37811
CDC42EP1,23.801145
CGN,23.726129999999998
HECTD1,21.50162
KLC4,23.48194
PLCH1,19.162405
PPP1R12A,23.98961
SNX17,21.93342
UBXN1,
WDHD1,
HUWE1,11.519288
KIAA1522,12.871480000000002
CLTA,15.054105
USP34,14.235923
OGFR,13.130322499999998
ERBB2,16.21194
TLK2,
TJP3,
LCOR,
PRR12,
SMG9,19.977465000000002
FAM21A;FAM21C,16.341639999999998
SHANK2,17.522365
YBX1;YBX3;YBX2,16.08817
SSH3,19.029355000000002
PDPK2P;PDPK1,17.128205
SUPT5H,
FGD1,
TBC1D9B,
REPS1,19.098085
MON1B,22.969165
PITPNM2,22.400615000000002
EME1,19.193350000000002
CDK12,24.89074
TTC7B,23.29132
CENPQ,
ABL1,15.520685
NFATC3,19.878555
SLC20A2,23.720745
TRAF2,13.7273955
JMY,21.082005
NCBP1,21.313814999999998
POLR2M;GCOM2,16.478175
PYGB,20.88625
NAA30,21.851225
ACACA,16.672655
AHDC1,21.99098
APPL1,19.805284999999998
ARHGEF40,19.48667
ATAD2,20.4234
BCAR3,18.681150000000002
BPTF,20.86114
BRD8,22.735235
CAMK2D,
CARS,22.14438
CBX2,19.644785
CDC42BPG,13.682943000000002
CDCA3,23.091445
CDK16,25.566095
CIPC,18.86315
CTDP1,18.432705
CTPS1,21.22304
CTU2,19.143955
CXorf23,22.16525
DCP1A,17.954395
DDX27,19.68493
ECT2,24.592775
EIF2B4,23.163149999999998
ELAVL1,21.209955
FRMD4B,
H2AFY2,21.739055
HBP1,
HELLS,
HID1,20.55143
IGF2R,17.787925
INF2,19.042085
KIF20B,21.209885
L3MBTL2,20.26256
LAD1,
LARP7,21.17894
MAP3K11,19.61759
MAPKAP1,25.85149
MARCKS,24.302945
MAST2,22.6762
MDC1,21.47182
MEX3C,
MICAL3,22.976775
MSH6,23.36995
MTDH,21.03106
MTFR1L,18.23444
MTMR12,21.04252
MYBL2,20.561385
